LinkId,srcNodeId,srcIntfId,dstNodeId,dstIntfId,bandwidth,cost
1,0,0,1,0,37,2
2,0,0,2,0,44,3
3,0,0,3,0,43,2
4,0,0,4,0,3,3
5,0,0,7,0,38,2
6,0,0,8,0,33,1
7,0,0,15,0,18,3
8,0,0,17,0,10,3
9,1,0,2,0,3,3
10,1,0,3,0,43,2
11,1,0,4,0,39,3
12,1,0,5,0,20,1
13,1,0,6,0,30,1
14,1,0,8,0,15,1
15,1,0,9,0,33,1
16,1,0,11,0,43,1
17,2,0,8,0,10,1
18,2,0,11,0,13,1
19,2,0,13,0,42,1
20,2,0,14,0,11,1
21,2,0,15,0,46,2
22,3,0,6,0,14,2
23,3,0,8,0,14,2
24,3,0,10,0,25,1
25,3,0,11,0,11,1
26,3,0,12,0,35,3
27,3,0,15,0,14,2
28,3,0,16,0,11,3
29,4,0,5,0,12,2
30,4,0,6,0,21,3
31,4,0,7,0,17,2
32,4,0,9,0,42,1
33,4,0,10,0,13,1
34,4,0,12,0,15,3
35,4,0,14,0,49,3
36,4,0,16,0,10,3
37,5,0,9,0,3,3
38,5,0,15,0,43,1
39,5,0,16,0,19,3
40,5,0,17,0,47,1
41,6,0,7,0,49,1
42,6,0,8,0,35,3
43,6,0,13,0,37,2
44,7,0,8,0,18,3
45,7,0,9,0,27,1
46,7,0,11,0,7,2
47,7,0,12,0,30,2
48,8,0,11,0,34,2
49,8,0,12,0,17,2
50,8,0,14,0,5,3
51,8,0,15,0,23,3
52,8,0,16,0,1,3
53,9,0,12,0,21,3
54,9,0,17,0,24,3
55,10,0,15,0,8,2
56,10,0,16,0,20,2
57,11,0,15,0,10,3
58,11,0,17,0,46,2
59,12,0,14,0,4,3
60,12,0,16,0,28,2
61,13,0,14,0,12,3
62,14,0,16,0,29,2
63,14,0,17,0,11,2
64,15,0,17,0,23,3
65,16,0,17,0,35,3
66,18,0,15,0,50000000,1000000000
67,18,0,18,0,50000000,1000000000
68,18,0,2,0,50000000,1000000000
69,18,0,18,0,50000000,1000000000
70,6,0,19,0,50000000,1000000000
71,6,0,19,0,50000000,1000000000
72,16,0,19,0,50000000,1000000000
73,14,0,19,0,50000000,1000000000
