LinkId,srcNodeId,srcIntfId,dstNodeId,dstIntfId,bandwidth,cost
1,0,0,1,0,16,26
2,0,0,6,0,15,46
3,0,0,13,0,16,3
4,0,0,14,0,17,14
5,0,0,21,0,41,7
6,0,0,26,0,39,28
7,0,0,27,0,18,38
8,0,0,28,0,11,49
9,0,0,33,0,37,13
10,0,0,37,0,37,40
11,0,0,46,0,22,29
12,0,0,49,0,9,32
13,0,0,51,0,28,11
14,0,0,62,0,1,44
15,0,0,72,0,7,12
16,0,0,73,0,30,43
17,0,0,78,0,27,48
18,0,0,87,0,27,33
19,0,0,91,0,7,10
20,0,0,96,0,15,40
21,0,0,99,0,43,14
22,0,0,113,0,19,21
23,0,0,117,0,20,15
24,0,0,121,0,38,32
25,0,0,123,0,18,37
26,0,0,125,0,46,45
27,0,0,128,0,26,13
28,0,0,138,0,43,8
29,0,0,139,0,44,21
30,0,0,146,0,27,2
31,0,0,149,0,13,19
32,0,0,151,0,21,37
33,0,0,152,0,34,45
34,0,0,163,0,48,5
35,0,0,166,0,30,26
36,0,0,167,0,6,36
37,0,0,169,0,18,12
38,0,0,175,0,38,38
39,0,0,177,0,7,20
40,0,0,181,0,49,45
41,0,0,187,0,31,49
42,0,0,195,0,46,23
43,0,0,212,0,14,20
44,0,0,217,0,11,16
45,0,0,221,0,45,7
46,0,0,222,0,38,8
47,0,0,232,0,48,27
48,0,0,236,0,3,49
49,0,0,247,0,11,39
50,0,0,251,0,8,33
51,0,0,258,0,7,20
52,0,0,276,0,12,3
53,0,0,280,0,7,7
54,0,0,289,0,5,4
55,0,0,302,0,43,26
56,0,0,304,0,33,18
57,0,0,309,0,35,37
58,0,0,313,0,20,46
59,0,0,318,0,32,21
60,0,0,319,0,4,21
61,0,0,320,0,45,15
62,0,0,321,0,1,9
63,0,0,342,0,1,9
64,0,0,348,0,27,4
65,0,0,362,0,19,2
66,0,0,363,0,5,45
67,0,0,367,0,2,44
68,0,0,371,0,9,5
69,0,0,372,0,26,47
70,0,0,373,0,35,26
71,0,0,382,0,3,21
72,0,0,389,0,38,17
73,0,0,395,0,33,34
74,0,0,397,0,24,34
75,0,0,399,0,42,9
76,0,0,403,0,33,47
77,0,0,410,0,43,35
78,0,0,414,0,41,25
79,0,0,430,0,20,1
80,0,0,431,0,7,19
81,0,0,437,0,28,26
82,0,0,443,0,41,37
83,0,0,449,0,21,21
84,0,0,451,0,40,48
85,0,0,452,0,40,28
86,0,0,454,0,6,38
87,0,0,470,0,44,36
88,0,0,494,0,18,49
89,1,0,2,0,12,6
90,1,0,3,0,47,37
91,1,0,9,0,15,8
92,1,0,12,0,41,20
93,1,0,18,0,7,43
94,1,0,24,0,11,33
95,1,0,40,0,3,20
96,1,0,43,0,36,39
97,1,0,46,0,25,23
98,1,0,48,0,12,20
99,1,0,50,0,48,7
100,1,0,53,0,5,48
101,1,0,54,0,7,27
102,1,0,61,0,42,30
103,1,0,64,0,35,38
104,1,0,66,0,36,27
105,1,0,70,0,47,6
106,1,0,71,0,34,4
107,1,0,73,0,14,43
108,1,0,74,0,40,15
109,1,0,87,0,29,21
110,1,0,92,0,27,11
111,1,0,93,0,30,27
112,1,0,94,0,25,13
113,1,0,96,0,49,32
114,1,0,97,0,46,26
115,1,0,104,0,1,45
116,1,0,107,0,4,22
117,1,0,110,0,41,19
118,1,0,116,0,23,11
119,1,0,123,0,11,32
120,1,0,124,0,18,15
121,1,0,126,0,49,4
122,1,0,129,0,8,13
123,1,0,135,0,18,8
124,1,0,136,0,5,38
125,1,0,139,0,45,14
126,1,0,141,0,18,48
127,1,0,147,0,48,29
128,1,0,153,0,26,44
129,1,0,160,0,14,18
130,1,0,164,0,45,45
131,1,0,167,0,19,33
132,1,0,170,0,37,22
133,1,0,178,0,2,37
134,1,0,179,0,36,15
135,1,0,210,0,39,46
136,1,0,213,0,15,47
137,1,0,219,0,33,5
138,1,0,220,0,21,43
139,1,0,223,0,31,4
140,1,0,224,0,20,2
141,1,0,232,0,19,25
142,1,0,235,0,29,32
143,1,0,244,0,38,6
144,1,0,245,0,27,41
145,1,0,246,0,48,49
146,1,0,254,0,27,33
147,1,0,255,0,15,10
148,1,0,257,0,36,33
149,1,0,262,0,31,32
150,1,0,277,0,34,17
151,1,0,278,0,42,5
152,1,0,281,0,15,27
153,1,0,292,0,5,43
154,1,0,297,0,8,32
155,1,0,301,0,20,39
156,1,0,304,0,6,29
157,1,0,306,0,15,14
158,1,0,307,0,43,30
159,1,0,321,0,14,47
160,1,0,323,0,33,35
161,1,0,334,0,37,21
162,1,0,341,0,5,30
163,1,0,342,0,24,45
164,1,0,346,0,26,26
165,1,0,351,0,9,12
166,1,0,353,0,23,20
167,1,0,354,0,33,34
168,1,0,355,0,30,25
169,1,0,356,0,6,5
170,1,0,359,0,34,1
171,1,0,367,0,21,47
172,1,0,379,0,3,22
173,1,0,387,0,29,46
174,1,0,394,0,45,26
175,1,0,399,0,33,44
176,1,0,402,0,5,38
177,1,0,420,0,23,35
178,1,0,424,0,20,22
179,1,0,430,0,8,15
180,1,0,434,0,10,37
181,1,0,446,0,48,31
182,1,0,452,0,32,36
183,1,0,455,0,41,8
184,1,0,460,0,48,36
185,1,0,462,0,24,29
