p Int 3672 10063
n 3671 s
n 3672 t
a         1        2         10       1
a         2        1         10       1
a         2        3         10       1
a         3        2         10       1
a         3        4         10       1
a         4        3         10       1
a         2        5         10       1
a         5        2         10       1
a         5        6         10       1
a         6        5         10       1
a         7        8          6       1
a         8        7          6       1
a         4        7         10       1
a         7        4         10       1
a         9       10         10       1
a        10        9         10       1
a         8        9         10       1
a         9        8         10       1
a         7        9         10       1
a         9        7         10       1
a         6       11         10       1
a        11        6         10       1
a        12       13          6       1
a        13       12          6       1
a        10       12         10       1
a        12       10         10       1
a        11       14         10       1
a        14       11         10       1
a        14       15          6       1
a        15       14          6       1
a         7       16          6       1
a        16        7          6       1
a         4       16         10       1
a        16        4         10       1
a        16       17          6       1
a        17       16          6       1
a         9       18         11       1
a        18        9         11       1
a        12       19         10       1
a        19       12         10       1
a        12       18          6       1
a        18       12          6       1
a        11       20         10       1
a        20       11         10       1
a        14       20         10       1
a        20       14         10       1
a        21       22          6       1
a        22       21          6       1
a        19       21         10       1
a        21       19         10       1
a        21       23         10       1
a        23       21         10       1
a        20       24         10       1
a        24       20         10       1
a         2       25         10       1
a        25        2         10       1
a        21       26          6       1
a        26       21          6       1
a        17       27          6       1
a        27       17          6       1
a        25       27          6       1
a        27       25          6       1
a        19       28         10       1
a        28       19         10       1
a        18       28         10       1
a        28       18         10       1
a        23       26         10       1
a        26       23         10       1
a        16       29         10       1
a        29       16         10       1
a        27       29         10       1
a        29       27         10       1
a        28       30         10       1
a        30       28         10       1
a        29       30         10       1
a        30       29         10       1
a        30       31         10       1
a        31       30         10       1
a        29       31         10       1
a        31       29         10       1
a        31       32         10       1
a        32       31         10       1
a        27       32          6       1
a        32       27          6       1
a        28       33         10       1
a        33       28         10       1
a        30       33         10       1
a        33       30         10       1
a        32       34         10       1
a        34       32         10       1
a         6       35         10       1
a        35        6         10       1
a        24       35         10       1
a        35       24         10       1
a        26       36         10       1
a        36       26         10       1
a        33       36         10       1
a        36       33         10       1
a        36       37         10       1
a        37       36         10       1
a        33       37         10       1
a        37       33         10       1
a        25       38         10       1
a        38       25         10       1
a        35       38         10       1
a        38       35         10       1
a        38       39         10       1
a        39       38         10       1
a        20       40         10       1
a        40       20         10       1
a        40       41         10       1
a        41       40         10       1
a        41       42         10       1
a        42       41         10       1
a        37       43         10       1
a        43       37         10       1
a        34       44          6       1
a        44       34          6       1
a        39       44         10       1
a        44       39         10       1
a        24       45          6       1
a        45       24          6       1
a        40       45         10       1
a        45       40         10       1
a        32       46          6       1
a        46       32          6       1
a        44       46         10       1
a        46       44         10       1
a        43       47         10       1
a        47       43         10       1
a        31       47         10       1
a        47       31         10       1
a        46       47          6       1
a        47       46          6       1
a        35       48         10       1
a        48       35         10       1
a        39       49         10       1
a        49       39         10       1
a        49       50         10       1
a        50       49         10       1
a        38       50         10       1
a        50       38         10       1
a        48       50         10       1
a        50       48         10       1
a        44       51          6       1
a        51       44          6       1
a        49       51         10       1
a        51       49         10       1
a        45       52          6       1
a        52       45          6       1
a        45       53         10       1
a        53       45         10       1
a        48       53         10       1
a        53       48         10       1
a        46       54          6       1
a        54       46          6       1
a        51       54         10       1
a        54       51         10       1
a        41       52          6       1
a        52       41          6       1
a        52       53         10       1
a        53       52         10       1
a        37       55         10       1
a        55       37         10       1
a        55       56          6       1
a        56       55          6       1
a        43       56         11       1
a        56       43         11       1
a        47       56          6       1
a        56       47          6       1
a        26       57          6       1
a        57       26          6       1
a        36       57         10       1
a        57       36         10       1
a        55       57          6       1
a        57       55          6       1
a        48       58          6       1
a        58       48          6       1
a        53       58         10       1
a        58       53         10       1
a        55       59         10       1
a        59       55         10       1
a        56       59          6       1
a        59       56          6       1
a        58       60         10       1
a        60       58         10       1
a        58       61         10       1
a        61       58         10       1
a        52       62         11       1
a        62       52         11       1
a        49       63         10       1
a        63       49         10       1
a        61       63         10       1
a        63       61         10       1
a        60       64         10       1
a        64       60         10       1
