LinkId,srcNodeId,srcIntfId,dstNodeId,dstIntfId,bandwidth,cost
1,0,0,1,0,8,39
2,0,0,2,0,2,22
3,0,0,7,0,17,21
4,0,0,8,0,33,13
5,0,0,11,0,24,36
6,0,0,16,0,35,30
7,0,0,17,0,32,13
8,0,0,22,0,4,34
9,0,0,23,0,12,42
10,0,0,26,0,4,38
11,0,0,28,0,13,34
12,0,0,30,0,42,27
13,0,0,32,0,44,13
14,0,0,34,0,31,43
15,0,0,40,0,24,43
16,0,0,43,0,36,30
17,0,0,44,0,27,18
18,0,0,46,0,34,13
19,0,0,52,0,14,37
20,0,0,54,0,22,41
21,0,0,55,0,10,15
22,0,0,56,0,19,21
23,0,0,60,0,49,46
24,0,0,61,0,42,19
25,0,0,63,0,41,14
26,0,0,65,0,35,44
27,0,0,66,0,39,46
28,0,0,67,0,30,3
29,0,0,68,0,24,33
30,0,0,70,0,19,33
31,0,0,71,0,13,11
32,0,0,74,0,14,16
33,0,0,78,0,9,27
34,0,0,79,0,34,25
35,0,0,80,0,35,23
36,0,0,81,0,39,8
37,0,0,82,0,36,30
38,0,0,83,0,30,10
39,0,0,84,0,15,36
40,0,0,86,0,31,39
41,0,0,89,0,21,43
42,0,0,90,0,9,47
43,0,0,91,0,10,11
44,0,0,96,0,26,35
45,0,0,97,0,42,14
46,0,0,101,0,23,32
47,0,0,103,0,23,35
48,0,0,105,0,40,26
49,0,0,109,0,11,46
50,0,0,112,0,9,36
51,0,0,113,0,48,43
52,0,0,114,0,16,22
53,0,0,117,0,14,13
54,0,0,120,0,24,12
55,0,0,123,0,36,9
56,0,0,124,0,29,24
57,0,0,127,0,5,4
58,0,0,128,0,1,34
59,0,0,133,0,32,32
60,0,0,136,0,5,10
61,0,0,139,0,24,44
62,0,0,140,0,2,47
63,0,0,142,0,35,25
64,0,0,146,0,32,20
65,0,0,153,0,39,4
66,0,0,156,0,43,35
67,0,0,160,0,48,8
68,0,0,163,0,16,45
69,0,0,165,0,27,20
70,0,0,166,0,31,8
71,0,0,169,0,21,36
72,0,0,173,0,48,38
73,0,0,177,0,44,34
74,0,0,181,0,27,7
75,0,0,182,0,44,15
76,0,0,183,0,4,7
77,0,0,185,0,18,21
78,0,0,192,0,2,9
79,0,0,193,0,3,19
80,0,0,194,0,46,17
81,0,0,197,0,10,14
82,0,0,200,0,31,31
83,0,0,203,0,34,27
84,0,0,209,0,28,36
85,0,0,211,0,3,21
86,0,0,212,0,42,27
87,0,0,213,0,19,12
88,0,0,214,0,31,49
89,0,0,216,0,21,33
90,0,0,217,0,8,19
91,0,0,221,0,23,40
92,0,0,227,0,33,9
93,0,0,231,0,8,26
94,0,0,232,0,46,48
95,0,0,234,0,37,1
96,0,0,236,0,36,35
97,0,0,237,0,16,2
98,0,0,240,0,10,14
99,0,0,241,0,39,48
100,0,0,242,0,4,4
101,0,0,243,0,17,19
102,0,0,245,0,13,12
103,0,0,248,0,34,22
104,0,0,251,0,9,18
105,0,0,252,0,32,10
106,0,0,253,0,21,35
107,0,0,254,0,17,44
108,0,0,255,0,49,13
109,0,0,257,0,31,22
110,0,0,258,0,9,22
111,0,0,261,0,25,16
112,0,0,263,0,40,2
113,0,0,265,0,6,14
114,0,0,267,0,28,5
115,0,0,268,0,26,22
116,0,0,270,0,7,15
117,0,0,271,0,13,46
118,0,0,273,0,26,26
119,0,0,274,0,40,41
120,0,0,275,0,40,38
121,0,0,276,0,6,19
122,0,0,279,0,49,45
123,0,0,280,0,39,23
124,0,0,281,0,1,15
125,0,0,284,0,46,1
126,0,0,286,0,1,39
127,0,0,287,0,8,34
128,0,0,292,0,19,2
129,0,0,293,0,3,16
130,0,0,295,0,9,33
131,0,0,296,0,41,48
132,0,0,303,0,25,25
133,0,0,309,0,38,44
134,0,0,312,0,16,26
135,0,0,315,0,4,32
136,0,0,317,0,7,17
137,0,0,320,0,26,23
138,0,0,322,0,10,22
139,0,0,327,0,11,21
140,0,0,328,0,3,10
141,0,0,329,0,44,41
142,0,0,331,0,8,32
143,0,0,332,0,27,19
144,0,0,333,0,29,9
145,0,0,339,0,22,42
146,0,0,340,0,20,47
147,0,0,343,0,43,39
148,0,0,355,0,26,10
149,0,0,357,0,15,5
150,0,0,360,0,46,27
151,0,0,368,0,33,19
152,0,0,373,0,17,1
153,0,0,375,0,36,10
154,0,0,378,0,48,24
155,0,0,379,0,33,12
156,0,0,381,0,13,46
157,0,0,382,0,5,46
158,0,0,383,0,9,14
159,0,0,385,0,40,14
160,0,0,386,0,36,27
161,0,0,388,0,31,17
162,0,0,391,0,38,27
163,0,0,394,0,24,29
164,0,0,398,0,42,42
165,0,0,399,0,24,14
166,0,0,401,0,43,43
167,0,0,407,0,13,28
168,0,0,409,0,3,19
169,0,0,410,0,18,15
170,0,0,412,0,25,39
171,0,0,414,0,42,44
172,0,0,423,0,39,24
173,0,0,427,0,9,9
174,0,0,428,0,48,47
175,0,0,431,0,47,3
176,0,0,432,0,42,11
177,0,0,433,0,39,32
178,0,0,434,0,17,11
179,0,0,435,0,40,25
180,0,0,438,0,14,38
181,0,0,440,0,24,46
182,0,0,454,0,44,24
183,0,0,456,0,6,17
184,0,0,457,0,20,46
185,0,0,458,0,40,12
186,0,0,464,0,36,49
187,0,0,468,0,46,12
188,0,0,469,0,36,30
189,0,0,472,0,36,28
190,0,0,474,0,32,41
191,0,0,475,0,16,26
192,0,0,477,0,25,40
193,0,0,478,0,27,28
194,0,0,483,0,5,47
195,0,0,484,0,20,17
196,0,0,485,0,27,13
197,0,0,488,0,23,38
198,0,0,491,0,41,47
199,0,0,492,0,6,20
200,0,0,493,0,13,1
201,0,0,496,0,28,28
202,0,0,499,0,32,10
203,0,0,500,0,8,8
204,0,0,501,0,28,49
205,0,0,502,0,24,38
206,0,0,503,0,14,32
207,0,0,506,0,27,31
208,0,0,507,0,46,43
209,0,0,511,0,14,11
210,0,0,517,0,22,8
211,0,0,520,0,25,48
212,0,0,525,0,40,18
213,0,0,526,0,16,42
214,0,0,528,0,16,21
215,0,0,529,0,26,45
216,0,0,533,0,33,44
217,0,0,537,0,14,40
218,0,0,538,0,5,44
219,0,0,542,0,8,13
220,0,0,543,0,24,18
221,0,0,544,0,26,9
222,0,0,545,0,16,46
223,0,0,546,0,23,18
224,0,0,547,0,5,4
225,0,0,548,0,31,19
226,0,0,551,0,3,41
227,0,0,553,0,36,23
228,0,0,556,0,26,29
229,0,0,560,0,17,38
230,0,0,561,0,38,19
231,0,0,564,0,49,21
232,0,0,566,0,43,49
233,0,0,567,0,5,44
234,0,0,586,0,44,10
235,0,0,588,0,6,48
236,0,0,590,0,3,13
237,0,0,595,0,35,40
238,0,0,600,0,33,2
239,0,0,601,0,38,18
240,0,0,605,0,33,24
241,0,0,606,0,49,45
242,0,0,607,0,47,41
243,0,0,609,0,27,14
244,0,0,613,0,11,24
245,0,0,616,0,1,9
246,0,0,617,0,45,8
247,0,0,620,0,15,23
248,0,0,622,0,35,47
249,0,0,623,0,32,32
250,0,0,624,0,10,48
251,0,0,625,0,24,12
252,0,0,629,0,34,33
253,0,0,632,0,48,2
254,0,0,634,0,28,40
255,0,0,635,0,30,33
256,0,0,640,0,39,5
257,0,0,641,0,33,28
258,0,0,645,0,34,7
259,0,0,646,0,10,2
260,0,0,648,0,48,17
261,0,0,649,0,17,13
262,0,0,653,0,3,13
263,0,0,665,0,35,37
264,0,0,666,0,8,47
265,0,0,667,0,32,33
266,0,0,673,0,45,14
267,0,0,676,0,43,39
268,0,0,677,0,24,43
269,0,0,678,0,7,36
270,0,0,679,0,39,1
271,0,0,680,0,29,13
272,0,0,685,0,36,26
273,0,0,686,0,28,46
274,0,0,692,0,41,33
275,0,0,696,0,44,38
276,0,0,699,0,14,17
277,0,0,705,0,27,19
278,0,0,707,0,27,29
279,0,0,709,0,39,49
280,0,0,710,0,25,18
281,0,0,711,0,27,36
282,0,0,715,0,32,4
283,0,0,716,0,17,17
284,0,0,720,0,5,43
285,0,0,723,0,33,28
286,0,0,727,0,28,11
287,0,0,729,0,38,13
288,0,0,730,0,8,17
289,0,0,734,0,1,14
290,0,0,737,0,24,38
291,0,0,738,0,4,19
292,0,0,739,0,47,8
293,0,0,741,0,29,37
294,0,0,743,0,17,39
295,0,0,744,0,46,11
296,0,0,748,0,31,42
297,0,0,749,0,47,33
298,0,0,750,0,46,5
299,0,0,755,0,13,27
300,0,0,757,0,47,17
301,0,0,758,0,31,8
302,0,0,759,0,30,33
303,0,0,763,0,23,36
304,0,0,764,0,10,16
305,0,0,765,0,5,2
306,0,0,766,0,38,1
307,0,0,767,0,13,33
308,0,0,769,0,20,6
309,0,0,773,0,4,32
310,0,0,780,0,20,7
311,0,0,783,0,15,33
312,0,0,784,0,38,25
313,0,0,787,0,48,28
314,0,0,788,0,15,41
315,0,0,789,0,46,23
316,0,0,790,0,14,37
317,0,0,793,0,9,48
318,0,0,797,0,49,37
319,0,0,801,0,28,13
320,0,0,802,0,7,19
321,0,0,805,0,25,21
322,0,0,808,0,3,20
323,0,0,809,0,43,2
324,0,0,810,0,33,3
325,0,0,813,0,28,13
326,0,0,815,0,28,21
327,0,0,818,0,40,26
328,0,0,821,0,31,3
329,0,0,822,0,27,10
330,0,0,826,0,24,14
331,0,0,827,0,33,30
332,0,0,830,0,31,32
333,0,0,831,0,21,43
334,0,0,832,0,25,31
335,0,0,835,0,35,42
336,0,0,838,0,17,21
337,0,0,840,0,30,16
338,0,0,841,0,44,27
339,0,0,844,0,4,15
340,0,0,846,0,34,22
341,0,0,852,0,49,18
342,0,0,857,0,24,1
343,0,0,860,0,36,9
344,0,0,862,0,4,18
345,0,0,864,0,40,39
346,0,0,865,0,2,38
347,0,0,867,0,23,18
348,0,0,869,0,37,30
349,0,0,872,0,16,13
350,0,0,874,0,23,17
351,0,0,876,0,40,46
352,0,0,878,0,13,29
353,0,0,882,0,27,46
354,0,0,884,0,37,13
355,0,0,886,0,26,3
356,0,0,889,0,27,44
357,0,0,890,0,37,26
358,0,0,896,0,43,7
