LinkId,srcNodeId,srcIntfId,dstNodeId,dstIntfId,bandwidth,linkCost
0,0,0,1,0,100,999
1,0,0,2,0,100,999
2,0,0,3,0,100,999
3,0,0,4,0,100,999
4,0,0,5,0,100,999
5,0,0,6,0,100,999
6,0,0,7,0,100,999
7,0,0,8,0,100,999
8,0,0,9,0,100,999
9,0,0,10,0,100,999
10,0,0,11,0,100,999
11,0,0,12,0,100,999
12,0,0,13,0,100,999
13,0,0,14,0,100,999
14,0,0,15,0,100,999
15,0,0,16,0,100,999
16,0,0,17,0,100,999
17,0,0,18,0,100,999
18,0,0,19,0,100,999
19,0,0,20,0,100,999
20,0,0,21,0,100,999
21,0,0,22,0,100,999
22,0,0,23,0,100,999
23,0,0,24,0,100,999
24,0,0,25,0,100,999
25,0,0,26,0,100,999
26,0,0,27,0,100,999
27,0,0,28,0,100,999
28,0,0,29,0,100,999
29,0,0,30,0,100,999
30,0,0,31,0,100,999
31,0,0,32,0,100,999
32,0,0,33,0,100,999
33,0,0,34,0,100,999
34,0,0,35,0,100,999
35,0,0,36,0,100,999
36,0,0,37,0,100,999
37,0,0,38,0,100,999
38,0,0,39,0,100,999
39,0,0,40,0,100,999
40,0,0,41,0,100,999
41,0,0,42,0,100,999
42,0,0,43,0,100,999
43,0,0,44,0,100,999
44,0,0,45,0,100,999
45,0,0,46,0,100,999
46,0,0,47,0,100,999
47,0,0,48,0,100,999
48,0,0,49,0,100,999
49,0,0,50,0,100,999
50,0,0,51,0,100,999
51,0,0,52,0,100,999
52,0,0,53,0,100,999
53,0,0,54,0,100,999
54,0,0,55,0,100,999
55,0,0,56,0,100,999
56,0,0,57,0,100,999
57,0,0,58,0,100,999
58,0,0,59,0,100,999
59,0,0,60,0,100,999
60,0,0,61,0,100,999
61,0,0,62,0,100,999
62,0,0,63,0,100,999
63,0,0,64,0,100,999
64,0,0,65,0,100,999
65,0,0,66,0,100,999
66,0,0,67,0,100,999
67,0,0,68,0,100,999
68,0,0,69,0,100,999
69,0,0,70,0,100,999
70,0,0,71,0,100,999
71,0,0,72,0,100,999
72,0,0,73,0,100,999
73,0,0,74,0,100,999
74,0,0,75,0,100,999
75,0,0,76,0,100,999
76,0,0,77,0,100,999
77,0,0,78,0,100,999
78,0,0,79,0,100,999
79,0,0,80,0,100,999
80,1,0,2,0,23,1
81,1,0,81,0,9,3
82,2,0,3,0,3,1
83,2,0,1,0,34,2
84,2,0,82,0,40,3
85,3,0,4,0,49,2
86,3,0,2,0,35,1
87,3,0,83,0,21,2
88,4,0,5,0,45,2
89,4,0,3,0,6,1
90,4,0,84,0,35,3
91,5,0,6,0,14,2
92,5,0,4,0,44,1
93,5,0,85,0,49,2
94,6,0,7,0,14,1
95,6,0,5,0,5,2
96,6,0,86,0,4,3
97,7,0,8,0,19,1
98,7,0,6,0,8,2
99,7,0,87,0,16,3
100,8,0,9,0,28,2
101,8,0,7,0,29,2
102,8,0,88,0,39,3
103,9,0,10,0,11,2
104,9,0,8,0,36,1
105,9,0,89,0,46,2
106,10,0,11,0,7,1
107,10,0,9,0,23,1
108,10,0,90,0,12,2
109,11,0,12,0,3,1
110,11,0,10,0,15,1
111,11,0,91,0,9,3
112,12,0,13,0,36,1
113,12,0,11,0,22,1
114,12,0,92,0,23,3
115,13,0,14,0,28,2
116,13,0,12,0,41,2
117,13,0,93,0,9,3
118,14,0,15,0,47,1
119,14,0,13,0,25,2
120,14,0,94,0,2,3
121,15,0,16,0,2,1
122,15,0,14,0,4,2
123,15,0,95,0,12,3
124,16,0,17,0,40,1
125,16,0,15,0,14,1
126,16,0,96,0,1,3
127,17,0,18,0,29,2
128,17,0,16,0,1,2
129,17,0,97,0,27,2
130,18,0,19,0,17,2
131,18,0,17,0,22,2
132,18,0,98,0,18,2
133,19,0,20,0,8,2
134,19,0,18,0,31,1
135,19,0,99,0,35,2
136,20,0,21,0,21,1
137,20,0,19,0,25,2
138,20,0,100,0,12,3
139,21,0,22,0,27,1
140,21,0,20,0,32,1
141,21,0,101,0,6,3
142,22,0,23,0,16,1
143,22,0,21,0,45,1
144,22,0,102,0,17,2
145,23,0,24,0,46,2
146,23,0,22,0,29,1
147,23,0,103,0,31,3
148,24,0,25,0,16,2
149,24,0,23,0,37,1
150,24,0,104,0,21,3
151,25,0,26,0,16,2
152,25,0,24,0,49,1
153,25,0,105,0,37,2
154,26,0,27,0,18,2
155,26,0,25,0,14,2
156,26,0,106,0,2,2
157,27,0,28,0,41,2
158,27,0,26,0,49,2
159,27,0,107,0,49,3
160,28,0,29,0,29,2
161,28,0,27,0,41,1
162,28,0,108,0,42,3
163,29,0,30,0,25,1
164,29,0,28,0,13,2
165,29,0,109,0,6,3
166,30,0,31,0,41,1
167,30,0,29,0,22,2
168,30,0,110,0,36,2
169,31,0,32,0,2,2
170,31,0,30,0,6,2
171,31,0,111,0,6,2
172,32,0,33,0,4,2
173,32,0,31,0,9,1
174,32,0,112,0,46,2
