LinkId,srcNodeId,srcIntfId,dstNodeId,dstIntfId,bandwidth,cost
1,0,0,1,0,47,5
2,0,0,4,0,14,8
3,0,0,9,0,19,42
4,0,0,12,0,47,47
5,0,0,15,0,19,27
6,1,0,2,0,31,1
7,1,0,3,0,22,26
8,1,0,5,0,37,35
9,1,0,6,0,14,14
10,1,0,18,0,47,26
11,2,0,5,0,43,18
12,2,0,9,0,12,14
13,2,0,12,0,30,47
14,2,0,13,0,10,25
15,2,0,19,0,31,40
16,3,0,4,0,13,19
17,3,0,6,0,36,27
18,3,0,8,0,40,44
19,3,0,13,0,46,21
20,4,0,5,0,33,17
21,4,0,9,0,47,35
22,4,0,10,0,38,11
23,4,0,15,0,27,3
24,5,0,6,0,35,33
25,5,0,7,0,23,29
26,5,0,12,0,25,2
27,5,0,16,0,20,44
28,5,0,19,0,31,29
29,6,0,8,0,10,31
30,6,0,16,0,32,12
31,6,0,17,0,31,21
32,6,0,18,0,38,41
33,7,0,10,0,46,33
34,7,0,11,0,41,14
35,7,0,14,0,2,32
36,7,0,16,0,20,31
37,7,0,17,0,49,21
38,8,0,9,0,14,11
39,8,0,13,0,22,46
40,8,0,14,0,38,38
41,8,0,17,0,33,22
42,8,0,18,0,10,9
43,10,0,12,0,13,24
44,10,0,16,0,44,43
45,10,0,19,0,5,17
46,11,0,12,0,23,16
47,11,0,13,0,13,49
48,11,0,16,0,9,36
49,12,0,17,0,11,41
50,12,0,18,0,23,20
51,13,0,16,0,7,28
52,14,0,16,0,21,12
53,15,0,18,0,46,12
54,17,0,18,0,25,15
